12	8	5	5	7	9	7	5
11	7	4	5	5	9	7	5
50	17	10	14	16	13	19	13
14	9	6	5	8	10	10	6
10	9	18	4	6	5	6	6
16	9	7	6	5	5	4	5
11	6	4	5	6	5	6	6
10	6	5	4	16	19	15	10
48	13	9	10	20	14	18	13
15	11	10	7	6	5	3	5
12	9	18	5	13	15	15	10
23	13	12	7	5	5	6	6
39	21	11	19	14	10	18	13
59	22	12	16	24	16	20	22
12	7	6	5	7	5	3	5
12	8	7	6	7	5	4	5
12	6	5	5	8	9	8	7
15	10	7	5	9	10	10	7
11	6	5	5	10	11	11	8
19	12	10	7	5	5	4	5
61	31	10	16	20	17	19	17
14	7	5	5	5	5	4	5
13	8	5	5	14	15	15	10
22	13	14	8	7	5	3	5
11	7	6	5	6	5	7	6
62	22	12	17	19	16	16	23
50	17	11	16	22	16	21	18
52	20	10	13	17	13	17	16
15	7	5	5	10	10	9	7
11	6	5	5	11	13	11	8
66	21	11	10	18	15	13	15
12	6	5	5	10	11	12	8
19	12	10	8	7	5	3	5
11	6	5	5	5	5	4	5
10	6	5	5	7	8	7	7
13	7	5	5	16	19	17	11
16	10	9	6	6	5	5	5
16	11	8	6	13	15	17	9
18	12	11	7	11	13	16	9
61	28	12	16	29	12	15	15
15	9	9	6	5	5	4	5
33	15	10	10	16	12	14	10
28	14	8	11	15	11	13	9
28	17	8	13	9	10	15	9
13	8	5	5	8	10	9	6
11	6	4	5	5	5	4	5
